Title,Model,Brand,Category,Price,Image URL,Product URL,Store
BEKO REFRIGERATOR RDNG551M20TSX,RDNG551M20TSX,BEKO,Kitchen Appliances,369,https://diamondstarjo.com/wp-content/uploads/2024/11/7293241881-LO2-20201109-222547-1.png,https://diamondstarjo.com/product/beko-refrigerator-rdng551m20tsx,Diamond Star
BEKO REFRIGERATOR RDSA 43 X,RDSA 43 X,BEKO,Kitchen Appliances,279,https://diamondstarjo.com/wp-content/uploads/2024/11/umaaqr1yijycqzhmtul6mcjhsk4kp2mooxod0lyw.png,https://diamondstarjo.com/product/beko-refrigerator-rdsa-43-x,Diamond Star
BEKO REFRIGERATOR RDSA 32 S,RDSA 32 SX,BEKO,Kitchen Appliances,199,https://diamondstarjo.com/wp-content/uploads/2024/11/cq5dam.web_.1280.1280-2.png,https://diamondstarjo.com/product/beko-refrigerator-rdsa-32-s,Diamond Star
Ariston built-in refrigerator 316 Liters | BCB 7030 F EX,BCB 7030 F EX,Ariston,Home Appliances,499,https://diamondstarjo.com/wp-content/uploads/2023/03/BCB-8020-AA-F-C.jpg,https://diamondstarjo.com/product/ariston-built-in-refrigerator-316-liters-bcb-7030-f-ex,Diamond Star
"Hisense 649 liters top mount refrigerator, Silver – RT649N4ASU",RT649N4ASU,Hisense,Home Appliances,539,https://diamondstarjo.com/wp-content/uploads/2023/02/6917d75898916e8a7c334e2c824a99a512114c78_AM00041362P_1.jpg,https://diamondstarjo.com/product/hisense-649-liters-top-mount-refrigerator-silver-rt649n4asu,Diamond Star
Hisense refrigerator 465 liters A + – stainless steel RB605N4BS1,RB605N4BS1,Hisense,Home Appliances,599,https://diamondstarjo.com/wp-content/uploads/2023/02/37e861c0-16b5-11eb-9d7e-efc7f53c8538-1.jpeg,https://diamondstarjo.com/product/hisense-refrigerator-465-liters-a-stainless-steel-rb605n4bs1,Diamond Star
Hisense 432 liters multi door refrigerator- A+ -black RQ561N4AB1,RQ561N4AB1,Hisense,Home Appliances,749,https://diamondstarjo.com/wp-content/uploads/2023/03/Hisense-_RQ561N4AB1.jpg,https://diamondstarjo.com/product/hisense-432-liters-multi-door-refrigerator-a-black-rq561n4ab1,Diamond Star
"Hisense refrigerator , 670 liters, side by side, A+ – silver RS670N4ASU",RS670N4ASU,Hisense,Home Appliances,549,https://diamondstarjo.com/wp-content/uploads/2023/02/19-3.jpg,https://diamondstarjo.com/product/hisense-refrigerator-670-liters-side-by-side-a-silver-rs670n4asu,Diamond Star
Hisense upright refrigerator 484 liters RL484N4ASU,RL484N4ASU,Hisense,Home Appliances,499,https://diamondstarjo.com/wp-content/uploads/2023/02/0368114bd149359c4b8c4f11591216829949e80b_S200733112.jpg,https://diamondstarjo.com/product/hisense-upright-refrigerator-484-liters-rl484n4asu,Diamond Star
Hitachi 601L refrigerator R-V800PJ7 BBK,HICHI-REF-006,Hitachi,Home Appliances,888,https://diamondstarjo.com/wp-content/uploads/2022/09/V750BBK.png,https://diamondstarjo.com/product/hitachi-601l-refrigerator-r-vg800pj7-bbk,Diamond Star
Hitachi 601L refrigerator R-V800PJ7 BSL,HICHI-REF-005,Hitachi,Home Appliances,888,https://diamondstarjo.com/wp-content/uploads/2022/09/V750BSL.png,https://diamondstarjo.com/product/hitachi-601l-refrigerator-vg800pj7-bsl,Diamond Star
Hitachi refrigerator black HRTN8565DF-BBK,HICHI-REF-030,Hitachi,Home Appliances,777,https://diamondstarjo.com/wp-content/uploads/2022/09/V750BBK.png,https://diamondstarjo.com/product/hitachi-refrigerator-black-hrtn8565df-bbk,Diamond Star
Hitachi refrigerator steel HRTN8565DF-BSL,HICHI-REF-011,Hitachi,Home Appliances,777,https://diamondstarjo.com/wp-content/uploads/2022/09/V750BSL.png,https://diamondstarjo.com/product/hitachi-refrigerator-steel-hrtn8565df-bsl,Diamond Star
Hitachi refrigerator 489L R-V700PJ7 BBK,HICHI-REF-002,Hitachi,Home Appliances,666,https://diamondstarjo.com/wp-content/uploads/2022/09/R-V750PJ7BBKXZ-1_0.png,https://diamondstarjo.com/product/hitachi-489l-refrigerator-r-vg700pj7-bbk,Diamond Star
Hitachi refrigerator steel R-V700PJ7- BSL,HICHI-REF-001,Hitachi,Home Appliances,666,https://diamondstarjo.com/wp-content/uploads/2022/09/R-V700PJ7-BSL.png,https://diamondstarjo.com/product/hitachi-refrigerator-steel-r-v700pj7-bsl,Diamond Star
Beko refrigerator CN 161230 DX,BEK-REF-001,Beko,Home Appliances,925,https://diamondstarjo.com/wp-content/uploads/2022/07/hF8jQdqWtQQJNGT0Zcv1HSX2SXrpnKhCD0IOxqVq.jpg,https://diamondstarjo.com/product/beko-ref-cn-161230-dx,Diamond Star
Beko GN 164020 XP,GN 164020 XP,Beko,Kitchen Appliances,799,https://diamondstarjo.com/wp-content/uploads/2024/04/aswaralqima9-5-2021-46.jpg,https://diamondstarjo.com/product/gn-164020-xp,Diamond Star
Samsung RZ32A74A5AP/LV,RZ32A74A5AP/LV,Samsung,Home Appliances,999,https://diamondstarjo.com/wp-content/uploads/2024/01/FREEZER-1.jpg,https://diamondstarjo.com/product/rz32a74a5ap-lv,Diamond Star
Samsung RB34A6B4FAP/LV,699,Samsung,Home Appliances,699,https://diamondstarjo.com/wp-content/uploads/2024/01/ثلاجة-1.jpg,https://diamondstarjo.com/product/rb34a6b4fap-lv,Diamond Star
Samsung RR39M7310WW/LV,RR39M7310WW/LV,Samsung,Home Appliances,679,https://diamondstarjo.com/wp-content/uploads/2024/01/a4ea8cdde0c5d8a0a4394a3edcddc160_2048x2048.webp,https://diamondstarjo.com/product/rr39m7310ww-lv,Diamond Star
Samsung RR39M73107F/LV,RR39M73107F/LV,Samsung,Home Appliances,699,https://diamondstarjo.com/wp-content/uploads/2024/01/35c2ea2f9f1ab1ca96485c08b574800b_2048x2048.webp,https://diamondstarjo.com/product/rr39m73107f-lv,Diamond Star
Beko RDNE49HS,RDNE49HS,Beko,Home Appliances,359,https://diamondstarjo.com/wp-content/uploads/2024/01/file-1680179861187.webp,https://diamondstarjo.com/product/rdne49hs,Diamond Star
Hisense HIS.REF.0034,RF820N4WBU,Hisense,Home Appliances,999,https://diamondstarjo.com/wp-content/uploads/2024/01/تلاجةةةةةةعع.jpg,https://diamondstarjo.com/product/his-ref-0034,Diamond Star
Hisense HIS.REF.0035,RQ759N4IBU1,Hisense,Home Appliances,"1,999",https://diamondstarjo.com/wp-content/uploads/2024/01/S300836790_1.jpg,https://diamondstarjo.com/product/his-ref-0035,Diamond Star
Top mount freezer | RT47CG6002S9JO| 463 | silver,RT47CG6002S9JO,Top,Home Appliances,499,https://diamondstarjo.com/wp-content/uploads/2023/07/levant-top-mount-freezer-optimal-fresh-and-space-max-rt47cg6002s9jo-536113908.png,https://diamondstarjo.com/product/top-mount-freezer-rt47cg6002s9jo-463-silver,Diamond Star
Top mount freezer | RT45A3010SA/JO | 392 | silver,RT45A3010SA/JO,Top,Home Appliances,469,https://diamondstarjo.com/wp-content/uploads/2023/06/levant-top-mount-freezer-twin-cooling-rt45a3010sa-lv-540298600.png,https://diamondstarjo.com/product/top-mount-freezer-rt45a3010sa-jo-528-l-silver,Diamond Star
Top mount freezer |RT53K6000S8/JO | 528 L | silver,RT53K6000S8,Top,Home Appliances,649,https://diamondstarjo.com/wp-content/uploads/2022/12/ae-top-mount-freezer-rt53k6000s8-rt53k6000s8-ae-frontsilver-255149214.png,https://diamondstarjo.com/product/top-mount-freezer-rt53k6000s8-jo-528-l-silver,Diamond Star
Ariston REF A7TI 831 NFX,ARS-REF-0001,Ariston,Home Appliances,599,https://diamondstarjo.com/wp-content/uploads/2022/11/A7TI-8311-NFX-EX-external-1.jpg,https://diamondstarjo.com/product/ariston-ref-a7ti-831-nfx,Diamond Star
Beko freezer RFNE320L23S,BEK-REF-0002,Beko,Freezer,429,https://diamondstarjo.com/wp-content/uploads/2022/07/download-2022-07-17T135239.311.jpg,https://diamondstarjo.com/product/beko-freezer-rfne320l23s,Diamond Star
Four Doors |  RF59A70T0S9/LV | 593L | Twist Ice Maker,RF59A70T0S9/LV,Four,Four Doors,"1,449",https://diamondstarjo.com/wp-content/uploads/2022/01/levant-twist-ice-maker-rf59a70t0s9-lv-458699986.png,https://diamondstarjo.com/product/four-doors-rf59a70t0s9-593l-twist-ice-maker,Diamond Star
French Door | RF49A5202SL | 563 | Elegant Black,RF49A5202SL,French,French Door,"1,299",https://diamondstarjo.com/wp-content/uploads/2021/04/levant-water-dispenser-rf49a5202sl-fa-363941396.png,https://diamondstarjo.com/product/french-door-rf49a5202b1-lv-563-elegant-black,Diamond Star
Four Doors | RF48A4010B4/LV | 511 L | black,RF48A4010B4/LV,Four,Four Doors,799,https://diamondstarjo.com/wp-content/uploads/2021/04/levant-rf48a4010b4-french-door-with-twin-cooling-466l-rf48a4010b4-lv-396168968.png,https://diamondstarjo.com/product/four-doors-rf48a4010b4-lv-511-l-black,Diamond Star
Four Doors | RF48A4010M9/LV | 508 L | Silver,RF48A4010M9,Four,Four Doors,799,https://diamondstarjo.com/wp-content/uploads/2021/03/levant-dispensor-rf48a4010m9-lv-385896826.png,https://diamondstarjo.com/product/four-doors-rf48a4010m9-lv-508-l-silver,Diamond Star
